sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
pairwise 1,"[0,7]",0.375,0.0015,1.857142857,31.25,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.97729332,2,3.626945909,1.730344204
pairwise 1,"[11,12]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,9.630685879,2,1.29539267,1.793350483
pairwise 1,"[0,20]",0.375,0.0015,1.857142857,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,16.99239835,2,3.271601937,1.790408402
HRP,"[8,18]",0.025410136,0.0015,0.008527009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003013274,1,,1.781338523
HRP,"[10,19]",0.012964355,0.0015,0.006090721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002976879,1,,1.781138152
pairwise 1,"[4,17]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,19.92568034,2,0.247213532,1.778061048
pairwise 1,"[4,21]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,15.57588342,2,0.192576183,1.777093553
pairwise 2,"[11,22]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.737738,53,0.78759126,1.775688151
single additive,"[1,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,4.464285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.769714473
HRP,"[6,15]",0.049803866,0.0015,0.023398114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060327594,1,,1.768320391
pairwise 1,"[8,18]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,3.125,0,0,0,17.20652717,2,0.691308198,1.760643394
HRP,"[9,17]",0.018150097,0.0015,0.011937813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018180527,1,,1.759243669
HRP,"[5,23]",0.069725412,0.0015,0.001585465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041278654,1,,1.746853305
single additive,"[1,4]",0.375,0.0015,1.857142857,0,0,0,0,0.446428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60356941,1,,1.746239571
pairwise 1,"[15,20]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,6.25,0,10.29990579,2,0.808160293,1.745188151
pairwise 1,"[8,4]",0.375,0.0015,1.857142857,0,0,0,0,0.625,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48815979,2,0.869130613,1.743020021
